SAMPLE_DATA_TYPE,pAC50,smiles
flor 40 hr,6.878660554,[Ca+2].O[C@H](CCn1c(c(c(c1C(C)C)C(=O)Nc2ccccc2)c3ccccc3)c4ccc(F)cc4)C[C@@H](O)CC([O-])=O.[O-]C(=O)C[C@H](O)C[C@H](O)CCn4c(c1ccc(F)cc1)c(c2ccccc2)c(C(=O)Nc3ccccc3)c4C(C)C
flor 40 hr,7.328660554,CC(C)c4nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)C(C)C)cs4
flor 40 hr,6.628660554,[O-][N+](=O)c1ccc(O)c2ncccc12
flor 40 hr,7.428660554,O=C(CCN1CCC(C1)c2ccccc2)c3ccc4OCCOc4c3
glo 40 hr,7.328660554,O=C(CCN1CCC(C1)c2ccccc2)c3ccc4OCCOc4c3
flor 40 hr,7.348420452,O=S(N)(=O)c1cc(c(c(c1)[N+]([O-])=O)N(CCC)CCC)[N+]([O-])=O
flor 40 hr,7.378660554,Clc2cc3CCc4cccnc4\C(=C1\CCNCC1)c3cc2
glo 40 hr,7.378660554,Clc2cc3CCc4cccnc4\C(=C1\CCNCC1)c3cc2
flor 40 hr,7.328660554,CC(C)Cc1ccc(cc1)CC(=O)O
flor 40 hr,7.278660554,O=C(O[C@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)CCCCCCCCCCC)C(CC(C)C)NC=O
flor 40 hr,6.828660554,FC(F)(F)c1cc(ccc1Cl)C4(O)CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC4
flor 40 hr,7.328660554,O=S(=O)(O)O.Nc1cc2nc3cc(N)ccc3cc2cc1.Nc1cc2nc3cc(N)ccc3cc2cc1
glo 40 hr,6.978660554,O=S(=O)(O)O.Nc1cc2nc3cc(N)ccc3cc2cc1.Nc1cc2nc3cc(N)ccc3cc2cc1
flor 40 hr,6.928660554,[I-].CC[n+]3c4ccccc4ccc3C=CC=C2C=Cc1ccccc1N2CC
glo 40 hr,7.028660554,[I-].CC[n+]3c4ccccc4ccc3C=CC=C2C=Cc1ccccc1N2CC
flor 40 hr,7.278660554,FC(F)(F)C1=CN(C(=O)NC1=O)[C@H]2C[C@H](O)[C@@H](CO)O2
flor 40 hr,7.328660554,Cl.Clc1ccc(cc1)C(=O)CN(C)CCCN3c4ccccc4CCc2ccccc23
flor 40 hr,7.378660554,Oc1c(cc(Br)cc1Br)C(=O)Nc2ccc(Br)cc2
flor 40 hr,7.028660554,Cl.Cl.Fc1ccc(cc1)C(c2ccc(F)cc2)N3CCN(CC3)Cc4ccc(OC)c(OC)c4OC
flor 40 hr,7.378660554,O=C2N1C(=C(S[C@@H]1[C@H]2[C@@H](C)O)[C@H]3CCCO3)C(=O)O
glo 40 hr,6.978660554,FC(F)(F)c1cc(ccc1Cl)C4(O)CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC4
flor 40 hr,7.178660554,Clc3ccc(CC(O)(c1ccc(C)cc1)c2ccc(OCCN(CC)CC)cc2)cc3
glo 40 hr,7.178660554,Clc3ccc(CC(O)(c1ccc(C)cc1)c2ccc(OCCN(CC)CC)cc2)cc3
flor 40 hr,7.028660554,Ic4c5Oc1c(I)c(O)c(I)cc1C3(OC(=O)c2ccccc23)c5cc(I)c4O
glo 40 hr,7.278660554,Ic4c5Oc1c(I)c(O)c(I)cc1C3(OC(=O)c2ccccc23)c5cc(I)c4O
flor 40 hr,6.278660554,CN(C)c1ccc(cc1)C(=O)OCCC(C)C
flor 40 hr,7.378660554,Clc3sccc3COC(Cn1ccnc1)c2ccc(Cl)cc2Cl
flor 40 hr,7.378660554,Brc1cc(cnc1)C(=O)OC[C@@H]3C[C@]4(OC)c5cccc2c5c(cn2C)C[C@H]4N(C)C3
flor 40 hr,6.728660554,FC1=CN(C(=O)NC1=O)[C@H]2C[C@H](O)[C@@H](CO)O2
flor 40 hr,7.028660554,CS(=O)(=O)O.Oc1cccc(c1C)C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C
flor 40 hr,7.378660554,COc1cc(cc(OC)c1OC)C(=O)O[C@@H]3C[C@@H]4CN5CCc2c6ccc(OC)cc6nc2[C@H]5C[C@@H]4[C@@H]([C@H]3OC)C(=O)OC
flor 40 hr,7.378660554,O=C(CCl)c1ccc(Cl)cc1Cl
glo 40 hr,7.228660554,O=C(CCl)c1ccc(Cl)cc1Cl
flor 40 hr,6.728660554,N=C(NCCCCC)N\N=C\c2cnc1ccc(cc12)OC
glo 40 hr,6.728660554,N=C(NCCCCC)N\N=C\c2cnc1ccc(cc12)OC
flor 40 hr,7.428660554,CCN(CC)CCOc2ccc3c1ccc(cc1C(=O)c3c2)OCCN(CC)CC
flor 40 hr,6.778660554,Cl.Clc1cc(Cl)ccc1OCCCN(C)CC#C
flor 40 hr,7.378660554,Fc1ccc(cc1)C(=O)CCCN2CCC(O)(CC2)c3ccc(Br)cc3
flor 40 hr,7.378660554,O=C(O)/C=C\C(=O)O.CN1CC\C(CC1)=C2/c4ccccc4Sc3ccccc23
flor 40 hr,6.978660554,CC(C)(CC)C(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@@H]23
glo 40 hr,7.278660554,CC(C)(CC)C(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@@H]23
