experiment_id,timestamp,lr,dropout_ratio,batch_size,num_experts,num_layer,emb_dim,decay,features,Test_Metric_Mean,Test_Metric_Std,Test_auprc_mean,Test_auprc_std,Test_accuracy_mean,Test_accuracy_std,Test_f1_mean,Test_f1_std,Test_sensitivity_mean,Test_sensitivity_std,Test_specificity_mean,Test_specificity_std
ablation_Basic_119,2025-11-24 12:50:47,0.0005,0.3,128,3,5,300,0.0001,basic,84.9459,0.8144,0.8955,0.0064,0.7833,0.0104,0.8227,0.0129,0.8143,0.0261,0.7319,0.0328
ablation_Basic_90,2025-11-24 12:52:42,0.001,0.5,32,7,3,300,0.0,basic,84.8500,1.0808,0.8929,0.0079,0.7819,0.0152,0.8209,0.0171,0.8103,0.0396,0.7342,0.0467
ablation_Basic_91,2025-11-24 12:55:17,0.001,0.5,32,7,3,300,1e-05,basic,85.0119,1.2349,0.8957,0.0074,0.7778,0.0204,0.8135,0.0244,0.7885,0.0564,0.7585,0.0484
ablation_Basic_98,2025-11-24 12:57:07,0.001,0.5,32,7,5,300,0.0001,basic,85.5299,1.1237,0.8992,0.0067,0.7938,0.0146,0.8308,0.0153,0.8200,0.0291,0.7516,0.0153
ablation_Basic_123,2025-11-24 13:02:03,0.0005,0.3,128,3,7,300,0.0,basic,83.5820,0.8184,0.8861,0.0073,0.7695,0.0085,0.8090,0.0086,0.7894,0.0159,0.7368,0.0312
ablation_Basic_125,2025-11-24 13:02:38,0.0005,0.3,128,3,7,300,0.0001,basic,83.2882,1.1529,0.8823,0.0091,0.7680,0.0150,0.8089,0.0162,0.7948,0.0251,0.7230,0.0265
ablation_Basic_124,2025-11-24 13:02:45,0.0005,0.3,128,3,7,300,1e-05,basic,83.5411,0.8940,0.8861,0.0073,0.7702,0.0081,0.8121,0.0125,0.8045,0.0359,0.7122,0.0541
ablation_Basic_92,2025-11-24 13:06:10,0.001,0.5,32,7,3,300,0.0001,basic,84.9915,1.0226,0.8975,0.0101,0.7865,0.0120,0.8235,0.0124,0.8056,0.0176,0.7544,0.0222
ablation_Basic_115,2025-11-24 13:11:39,0.0005,0.3,32,3,5,300,1e-05,basic,85.0660,1.0534,0.8966,0.0061,0.7848,0.0086,0.8250,0.0091,0.8205,0.0221,0.7261,0.0317
ablation_Basic_104,2025-11-24 13:11:57,0.001,0.5,32,7,7,300,0.0001,basic,85.1312,1.1081,0.8972,0.0071,0.7889,0.0153,0.8265,0.0198,0.8170,0.0486,0.7401,0.0555
ablation_Basic_114,2025-11-24 13:13:16,0.0005,0.3,32,3,5,300,0.0,basic,85.3506,0.8181,0.9001,0.0038,0.7893,0.0062,0.8300,0.0084,0.8324,0.0209,0.7186,0.0322
ablation_Basic_103,2025-11-24 13:13:54,0.001,0.5,32,7,7,300,1e-05,basic,84.8731,0.6441,0.8927,0.0049,0.7850,0.0092,0.8239,0.0122,0.8150,0.0393,0.7367,0.0449
ablation_Basic_116,2025-11-24 13:18:54,0.0005,0.3,32,3,5,300,0.0001,basic,84.8487,1.1635,0.8962,0.0073,0.7846,0.0101,0.8253,0.0114,0.8234,0.0268,0.7202,0.0406
ablation_Basic_129,2025-11-24 13:21:41,0.0005,0.3,128,5,3,300,0.0,basic,84.4133,0.8842,0.8880,0.0095,0.7837,0.0043,0.8249,0.0039,0.8239,0.0171,0.7177,0.0296
ablation_Basic_108,2025-11-24 13:22:11,0.0005,0.3,32,3,3,300,0.0,basic,84.2541,0.7489,0.8836,0.0096,0.7820,0.0070,0.8243,0.0073,0.8267,0.0229,0.7085,0.0346
ablation_Basic_135,2025-11-24 13:26:31,0.0005,0.3,128,5,5,300,0.0,basic,85.2268,1.1769,0.9007,0.0068,0.7883,0.0103,0.8285,0.0111,0.8274,0.0261,0.7253,0.0226
